1 Massachusetts Institute of Technology	Cambridge
2	Stanford University	Stanford ...
3	Harvard University	Cambridge
4	University of California, Berkeley	Berkeley ...
5	University of Michigan	Ann Arbor ...
6	Cornell University	Ithaca
7	University of Washington	Seattle ...
8	Penn State University	University Park ...
9	University of Wisconsin-Madison	Madison
10	University of California, Los Angeles	Los Angeles ...
11	Purdue University	West Lafayette
12	University of Minnesota	Minneapolis ...
13	Columbia University in the City of New York	New York City
14	The University of Texas at Austin	Austin
15	University of Illinois at Urbana-Champaign	Champaign ...
16	New York University	New York City ...
17	University of Pennsylvania	Philadelphia
18	University of Southern California	Los Angeles
19	Carnegie Mellon University	Pittsburgh ...
20	Princeton University	Princeton
21	University of California, Irvine	Irvine ...
22	Yale University	New Haven
23	University of California, San Diego	San Diego ...
24	University of Maryland	College Park
25	Michigan State University	East Lansing
26	University of Chicago	Chicago
27	Arizona State University	Tempe ...
28	University of Florida	Gainesville
29	University of California, Davis	Davis ...
30	University of Colorado Boulder	Boulder
31	Rutgers, The State University of New Jersey	New Brunswick ...
32	Johns Hopkins University	Baltimore ...
33	Duke University	Durham
34	Boston University	Boston ...
35	University of North Carolina at Chapel Hill	Chapel Hill
36	The University of Arizona	Tucson
37	University of Virginia	Charlottesville ...
38	Texas A&M University	College Station
39	Georgia Institute of Technology	Atlanta
40	Northwestern University	Evanston ...
41	North Carolina State University	Raleigh
42	The Ohio State University	Columbus ...
43	Virginia Polytechnic Institute and State University	Blacksburg
44	University of California, Santa Barbara	Santa Barbara ...
45	The University of Utah	Salt Lake City
46	University of Pittsburgh	Pittsburgh ...
47	Indiana University Bloomington	Bloomington
48	Tufts University	Medford
49	Washington University in St. Louis	St. Louis
50	California Institute of Technology	Pasadena
51	Iowa State University of Science and Technology	Ames
52	Oregon State University	Corvallis ...
53	University of Massachusetts Amherst	Amherst
54	Vanderbilt University	Nashville
55	Georgia State University	Atlanta
56	University of Iowa	Iowa City ...
57	University of Nebraska-Lincoln	Lincoln
58	University of California, Santa Cruz	Santa Cruz ...
59	University of Delaware	Newark
60	University of Georgia	Athens
61	Florida State University	Tallahassee ...
62	Georgetown University	Washington
63	Colorado State University	Fort Collins
64	Brigham Young University	Provo
65	University of Houston	Houston
66	University of Notre Dame	Notre Dame
67	Brown University	Providence
68	University of Oregon	Eugene ...
69	George Mason University	Fairfax
70	George Washington University	Washington ...
71	University of South Florida	Tampa ...
72	University at Buffalo, State University of New York	Buffalo ...
73	Washington State University	Pullman
74	Rice University	Houston
75	Emory University	Atlanta
76	University of Rochester	Rochester
77	University of Kansas	Lawrence ...
78	University of Central Florida	Orlando ...
79	Dartmouth College	Hanover
80	University of Connecticut	Storrs ...
81	University of California, San Francisco	San Francisco ...
82	University of Illinois at Chicago	Chicago ...
83	Temple University	Philadelphia ...
84	University of California, Riverside	Riverside ...
85	Rochester Institute of Technology	Rochester
86	University of Kentucky	Lexington
87	University of Missouri	Columbia
88	University of South Carolina	Columbia ...
89	San Diego State University	San Diego ...
90	The University of Tennessee, Knoxville	Knoxville ...
91	University of Cincinnati	Cincinnati
92	Virginia Commonwealth University	Richmond
93	University of New Mexico	Albuquerque
94	The University of Oklahoma	Norman ...
95	The University of Texas at Dallas	Richardson
96	University of Miami	Coral Gables ...
97	University of North Texas	Denton ...
98	Boston College	Chestnut Hill
99	Louisiana State University	Baton Rouge
100	University of Vermont	Burlington
101	Drexel University	Philadelphia
102	California State University, Northridge	Northridge
103	San José State University	San José
104	Florida International University	Miami
105	California Polytechnic State University, San Luis Obispo	San Luis Obispo
106	Fordham University	The Bronx ...
107	Portland State University	Portland
108	Case Western Reserve University	Cleveland
109	Clemson University	Clemson
110	Rensselaer Polytechnic Institute	Troy ...
111	California State University, Fullerton	Fullerton ...
